index,parallax,parallax_error,phot_g_mean_mag
11635,5.68178803073777,0.081786945,16.788185
24183,5.549650664208544,0.21072316,18.250078
30224,5.462067705123808,0.020550763,10.951035
30957,5.916866474538442,0.014467586,12.97618
32836,5.948931116895545,0.121727124,17.409487
33035,5.701728804919137,0.07066401,16.749632
33364,5.862948706321455,0.13015619,17.789192
35155,5.670626703509246,0.013475753,12.3180685
38529,5.675330007298918,0.015334766,11.681706
38532,5.626714891827551,0.13054839,16.351892
40125,6.41925424935535,0.2356942,18.816158
41522,5.925298146572445,0.10530532,17.469803
41644,5.505089387934535,0.1616754,18.251122
42011,6.0053053934564185,0.07253793,16.282259
42703,6.060750957462435,0.036562987,15.407917
45184,5.581405506112139,0.044052944,15.836413
45728,5.661501839668845,0.116376325,17.682995
46682,5.616057129720976,0.06590507,16.400274
49153,5.775458659982278,0.01347716,12.592055
51995,5.732865669195781,0.015504917,9.9914055
52360,5.828768767281001,0.16715468,18.336311
60798,5.691513897298808,0.05752148,16.466213
61773,5.690332403503816,0.08264421,17.13766
63254,5.783242408751471,0.06940711,16.207382
71790,5.85535565345504,0.05749281,16.46497
81347,5.755152074725778,0.014100671,12.203257
89914,5.754329891701518,0.015784873,9.62862
102640,6.041827151456675,0.093770355,17.042953
103170,5.816478878141521,0.014551684,10.946137
113477,5.650042792819493,0.11077859,11.753772
116287,5.942590752606069,0.05108252,15.234892
116669,5.708089298319255,0.13906963,17.937328
130579,5.771484752343652,0.1444507,17.7239
136312,5.827579848008418,0.0139521975,12.821591
137771,6.063934585557211,0.057058588,16.464792
141640,5.425375846385425,0.014194682,12.036308
150590,5.671255592651555,0.13295442,17.756456
152527,5.7254061446457385,0.015231468,11.848379
157560,5.25956446508776,0.1955297,18.359978
162600,5.732290937722087,0.031604998,7.9508033
163337,5.774988077720336,0.071887575,16.720118
167793,5.846409113128125,0.08023545,16.757627
175383,5.7684676436837465,0.027292188,7.137924
179116,5.500631876777352,0.14761433,18.041134
